Ticker,Stock,Price,Dividend,High,Low,Ex-date,Pay-Date
ALX,"Alexander's, Inc.",$309.34,$18.00,$394.70,$299.90,,
AAPL,Apple Inc.,$266.17,$3.08,$327.85,$170.27,,
GWW,"W.W. Grainger, Inc.",$255.83,$5.76,$346.60,$251.63,,
AMGN,Amgen Inc.,$198.37,$6.40,$244.99,$166.30,,
MCD,McDonald's Corporation,$186.86,$5.00,$221.93,$180.66,,
FB,"Facebook, Inc.",$169.50,0,$224.20,$159.28,,
V,Visa Inc.,$171.13,$1.20,$214.17,$150.87,,
NSC,Norfolk Southern Corporation,$154.50,$3.76,$219.88,$151.37,,
MSFT,Microsoft Corporation,$150.62,$2.04,$190.70,$112.65,,
CCI,Crown Castle International Corp,$150.28,$4.80,$168.75,$119.81,,
UNP,Union Pacific Corporation,$135.84,$3.88,$188.96,$133.18,,
CMI,Cummins Inc.,$139.27,$5.24,$186.73,$136.57,,
MMM,3M Company,$144.06,$5.88,$219.75,$143.55,,
JNJ,Johnson & Johnson,$136.44,$3.80,$154.50,$126.10,,
PEP,"Pepsico, Inc.",$130.16,$3.82,$147.20,$115.37,,
IBM,International Business Machines,$117.81,$6.48,$158.75,$115.76,,
TROW,"T. Rowe Price Group, Inc.",$103.64,$3.60,$139.82,$97.57,,
TROW,"T. Rowe Price Group, Inc.",$103.64,$3.60,$139.82,$97.57,,
SPG,"Simon Property Group, Inc.",$103.04,$8.40,$186.40,$102.78,,
DIS,Walt Disney Company (The),$104.35,$1.76,$153.41,$102.43,,
TXN,Texas Instruments Incorporated,$105.04,$3.60,$135.70,$101.57,,
WMT,Walmart Inc.,$117.16,$2.16,$125.38,$95.00,,
LOW,"Lowe's Companies, Inc.",$94.22,$2.20,$126.73,$91.60,,
AXP,American Express Company,$98.29,$1.72,$138.13,$96.94,,
TGT,Target Corporation,$104.03,$2.64,$130.24,$70.03,,
DUK,Duke Energy Corporation (Holdin,$94.58,$3.78,$103.79,$84.28,,
CVX,Chevron Corporation,$80.67,$5.16,$127.34,$80.00,,
NKE,"Nike, Inc.",$84.11,$0.98,$105.62,$77.07,,
ABBV,AbbVie Inc.,$85.27,$4.72,$97.86,$62.66,,
GPC,Genuine Parts Company,$80.15,$3.16,$115.20,$77.36,,
PII,Polaris Inc.,$73.41,$2.48,$104.37,$70.11,,
VYM,Vanguard High Dividend Yield ET,$76.97,0,$94.86,$75.54,,
DIN,"Dine Brands Global, Inc. Common",$61.50,$3.04,$104.47,$56.32,,
PM,Philip Morris International Inc,$81.63,$4.68,$92.74,$69.27,,
D,"Dominion Energy, Inc.",$81.33,$3.76,$90.89,$72.61,,
WPC,W. P. Carey Inc. REIT,$76.84,$4.15,$93.62,$75.25,,
SBUX,Starbucks Corporation,$70.83,$1.64,$99.72,$69.69,,
QCOM,QUALCOMM Incorporated,$72.64,$2.48,$96.17,$54.54,,
CFR,"Cullen/Frost Bankers, Inc.",$54.12,$2.84,$104.53,$50.17,,
CM,Canadian Imperial Bank of Comme,$62.41,$4.40,$87.62,$62.09,,
CM,Canadian Imperial Bank of Comme,$62.41,$4.40,$87.62,$62.09,,
RY,Royal Bank Of Canada,$65.41,$3.26,$82.74,$65.02,,
O,Realty Income Corporation,$73.32,$2.79,$84.92,$66.21,,
LYB,LyondellBasell Industries NV,$59.61,$4.20,$98.91,$57.83,,
CL,Colgate-Palmolive Company,$69.99,$1.72,$77.41,$64.75,,
VFC,V.F. Corporation,$62.39,$1.92,$100.25,$60.87,,
OMC,Omnicom Group Inc.,$60.37,$2.60,$85.05,$59.43,,
CHRW,"C.H. Robinson Worldwide, Inc.",$62.67,$2.04,$91.97,$61.76,,
OKE,"ONEOK, Inc.",$38.10,$3.74,$78.48,$30.46,,
DFS,Discover Financial Services,$54.76,$1.76,$92.98,$53.57,,
SO,Southern Company (The),$62.16,$2.48,$71.10,$50.77,,
EMR,Emerson Electric Company,$50.36,$2.00,$78.38,$49.77,,
CVS,CVS Health Corporation,$61.30,$2.00,$77.03,$51.72,,
WSM,"Williams-Sonoma, Inc.",$54.00,$1.92,$77.00,$50.14,,
